,days_to_event,avg_annualized_vol
0,-58,31.70323405629372
1,-57,35.66402733069716
2,-56,34.13736994507456
3,-55,33.50570532132013
4,-54,34.58892940540045
5,-53,36.51203639072018
6,-52,38.4635284233942
7,-51,36.24964761175378
8,-50,36.250150437919615
9,-49,35.52018194194463
10,-48,35.917816067631094
11,-47,35.711263511302036
12,-46,36.49158788674832
13,-45,34.775610460232556
14,-44,35.12241744435061
15,-43,34.31211301817382
16,-42,34.73217188612678
17,-41,33.84492376778628
18,-40,34.6055879275034
19,-39,33.87969846547476
20,-38,33.91091132715377
21,-37,35.946283933170584
22,-36,35.76058155150668
23,-35,35.091613210392026
24,-34,34.21362500256653
25,-33,31.85609806532832
26,-32,34.93731012270785
27,-31,35.35044447426942
28,-30,36.274701332335184
29,-29,35.06371105579015
30,-28,34.680098314373595
31,-27,33.86861139357887
32,-26,34.13874721810463
33,-25,33.58733550904076
34,-24,33.90048152447323
35,-23,34.82695922935658
36,-22,34.21607206902818
37,-21,34.27744535388817
38,-20,33.632956163954006
39,-19,33.34743032061865
40,-18,37.01185974923334
41,-17,34.4632192627963
42,-16,35.86681001158858
43,-15,37.13140030546158
44,-14,35.942974143812535
45,-13,40.05449916248529
46,-12,39.73023876665406
47,-11,34.32348604439697
48,-10,36.663236328829406
49,-9,41.026566004225565
50,-8,39.00977016357885
51,-7,39.359766516985076
52,-6,37.577129960350305
53,-5,37.75707158356541
54,-4,38.21321066438993
55,-3,38.84620870253918
56,-2,37.50982512371472
57,-1,37.9372252945828
58,0,41.42984497005843
59,1,61.82896027818951
60,2,66.4533481388596
61,3,54.02187460422056
62,4,51.671539223955364
63,5,56.83751036908824
64,6,58.79181293082559
65,7,55.886333063378196
66,8,39.79506709167794
67,9,37.10084038324956
68,10,41.255012652507695
69,11,38.18376631563911
70,12,37.78671001776899
71,13,37.09738868914935
72,14,35.875480607509324
73,15,34.25672936481976
74,16,32.848207948678436
75,17,35.005293263352485
76,18,35.739227721848366
77,19,35.74832813952974
78,20,34.4783706394787
79,21,34.09516562809392
80,22,33.160374301877376
81,23,33.4163156115769
82,24,33.41503004438437
83,25,33.28279107645508
84,26,33.30575143422855
85,27,32.30092444593291
86,28,31.836729378105584
87,29,31.92708193001044
88,30,32.056518364122475
89,31,31.859831281580046
90,32,30.487048503220187
91,33,31.550947483592513
92,34,32.225743147570206
93,35,32.16194660613602
94,36,31.683626815251596
95,37,33.23902119768497
96,38,34.09205262109879
97,39,34.05900195270975
98,40,33.658215746682814
99,41,36.2205501789461
100,42,36.15378368828237
101,43,33.72212141029791
102,44,33.57942163277973
103,45,38.14540249805458
104,46,37.05487463956135
105,47,37.24521950157029
106,48,34.86398660584408
107,49,33.825844454771456
108,50,33.71075935936714
109,51,33.70729888735043
110,52,35.95530984775778
111,53,35.77256925812723
112,54,34.649121599468245
113,55,33.775747051316024
114,56,34.08832799925296
115,57,33.35049606837896
116,58,32.33059897682658
117,59,34.04737194095704
118,60,34.681359308497164
